category_id,department,parent_category_id,name,normalized_name,url,route_type,depth,is_product_listing,is_collection_page,is_campaign_page,is_navigation_only,first_seen_from,last_verified_at,crawl_status,canonical_category_key,canonical_url,alias_urls,classification_evidence,department_basis,product_card_count_observed,legacy_category_ids,enumeration_complete,discovery_complete
category:52b69d58ca7f96f8,WOMAN,category:9be78623888074ad,Dresses for Women | ZARA United States,dresses for women | zara united states,https://www.zara.com/us/en/woman-dresses-l1066.html,PRODUCT_LISTING_CATEGORY,2,True,False,False,False,legacy_checkpoint,2026-09-06T04:27:16.070Z,PARTIAL,category:52b69d58ca7f96f8,https://www.zara.com/us/en/woman-dresses-l1066.html,[],data\raw\zara\woman-dresses-listing.json,INFERRED from route unless landing heading verified,32,"[""category:52b69d58ca7f96f8""]",False,True
category:464699df8a939649,WOMAN,,going out,going out,https://www.zara.com/us/en/woman-dresses-party-l1581.html,PRODUCT_LISTING_CATEGORY,,True,False,False,False,legacy_checkpoint,2026-09-06T05:18:32.941957+00:00,PARTIAL,category:464699df8a939649,https://www.zara.com/us/en/woman-dresses-party-l1581.html,[],data\raw\zara\discovery\1581.json,INFERRED from route unless landing heading verified,40,"[""category:464699df8a939649""]",False,True
category:0a70d2e37392985f,WOMAN,,midi | maxi,midi | maxi,https://www.zara.com/us/en/woman-dresses-midi-l1081.html,PRODUCT_LISTING_CATEGORY,,True,False,False,False,legacy_checkpoint,2026-09-06T05:18:40.397080+00:00,PARTIAL,category:0a70d2e37392985f,https://www.zara.com/us/en/woman-dresses-midi-l1081.html,[],data\raw\zara\discovery\1081.json,INFERRED from route unless landing heading verified,40,"[""category:0a70d2e37392985f""]",False,True
category:e51c9cb6e9106f5d,WOMAN,,mini,mini,https://www.zara.com/us/en/woman-dresses-mini-l1083.html,PRODUCT_LISTING_CATEGORY,,True,False,False,False,legacy_checkpoint,2026-09-06T05:18:49.055967+00:00,PARTIAL,category:e51c9cb6e9106f5d,https://www.zara.com/us/en/woman-dresses-mini-l1083.html,[],data\raw\zara\discovery\1083.json,INFERRED from route unless landing heading verified,40,"[""category:e51c9cb6e9106f5d""]",False,True
category:2296093622c90fd2,WOMAN,,jumpsuits,jumpsuits,https://www.zara.com/us/en/woman-jumpsuits-l1150.html,PRODUCT_LISTING_CATEGORY,,True,False,False,False,legacy_checkpoint,2026-09-06T05:18:58.348385+00:00,PARTIAL,category:2296093622c90fd2,https://www.zara.com/us/en/woman-jumpsuits-l1150.html,[],data\raw\zara\discovery\1150.json,INFERRED from route unless landing heading verified,40,"[""category:2296093622c90fd2""]",False,True
category:91c60a1489d05f0a,WOMAN,,satin effect,satin effect,https://www.zara.com/us/en/woman-dresses-camisole-l2184.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:91c60a1489d05f0a,https://www.zara.com/us/en/woman-dresses-camisole-l2184.html,[],,INFERRED from route unless landing heading verified,,"[""category:91c60a1489d05f0a""]",False,False
category:222e1aa5c830d324,WOMAN,,VIEW ALL,view all,https://www.zara.com/us/en/woman-dresses-view-all-newsletter-l19359.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:222e1aa5c830d324,https://www.zara.com/us/en/woman-dresses-view-all-newsletter-l19359.html,[],,INFERRED from route unless landing heading verified,,"[""category:222e1aa5c830d324""]",False,False
category:d46328f1a84f9f10,WOMAN,,Women's Wedding Guest Dresses,women's wedding guest dresses,https://www.zara.com/us/en/woman-dresses-wedding-guest-l2178.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:d46328f1a84f9f10,https://www.zara.com/us/en/woman-dresses-wedding-guest-l2178.html,[],,INFERRED from route unless landing heading verified,,"[""category:d46328f1a84f9f10""]",False,False
category:2ef8a2ef6481daa9,WOMAN,,Women's White Dresses,women's white dresses,https://www.zara.com/us/en/woman-dresses-white-l1676.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:2ef8a2ef6481daa9,https://www.zara.com/us/en/woman-dresses-white-l1676.html,[],,INFERRED from route unless landing heading verified,,"[""category:2ef8a2ef6481daa9""]",False,False
category:f9f047510caa478d,WOMAN,,Women´s Dress Beach,women´s dress beach,https://www.zara.com/us/en/woman-dresses-beach-l5337.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:f9f047510caa478d,https://www.zara.com/us/en/woman-dresses-beach-l5337.html,[],,INFERRED from route unless landing heading verified,,"[""category:f9f047510caa478d""]",False,False
category:0e2a2b2a987a96bd,WOMAN,,Women's Sweater Dresses,women's sweater dresses,https://www.zara.com/us/en/woman-knitwear-dresses-l1160.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:0e2a2b2a987a96bd,https://www.zara.com/us/en/woman-knitwear-dresses-l1160.html,[],,INFERRED from route unless landing heading verified,,"[""category:0e2a2b2a987a96bd""]",False,False
category:64745c5b2e6e09de,WOMAN,,Women's Black Dresses,women's black dresses,https://www.zara.com/us/en/woman-dresses-black-l1595.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:64745c5b2e6e09de,https://www.zara.com/us/en/woman-dresses-black-l1595.html,[],,INFERRED from route unless landing heading verified,,"[""category:64745c5b2e6e09de""]",False,False
category:cc79f9caaccdccb9,WOMAN,,LINGERIE STYLE,lingerie style,https://www.zara.com/us/en/woman-dresses-lace-l1774.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:cc79f9caaccdccb9,https://www.zara.com/us/en/woman-dresses-lace-l1774.html,[],,INFERRED from route unless landing heading verified,,"[""category:cc79f9caaccdccb9""]",False,False
category:68a78d69fc6bab3a,WOMAN,,Women's Linen Dresses,women's linen dresses,https://www.zara.com/us/en/woman-dresses-linen-l1686.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:68a78d69fc6bab3a,https://www.zara.com/us/en/woman-dresses-linen-l1686.html,[],,INFERRED from route unless landing heading verified,,"[""category:68a78d69fc6bab3a""]",False,False
category:7563a9dd369e86fb,WOMAN,,BELTED,belted,https://www.zara.com/us/en/woman-dresses-belted-l17324.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:7563a9dd369e86fb,https://www.zara.com/us/en/woman-dresses-belted-l17324.html,[],,INFERRED from route unless landing heading verified,,"[""category:7563a9dd369e86fb""]",False,False
category:4c4e00e79769d251,WOMAN,,Women´s Printed Dresses,women´s printed dresses,https://www.zara.com/us/en/woman-dresses-printed-l1089.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:4c4e00e79769d251,https://www.zara.com/us/en/woman-dresses-printed-l1089.html,[],,INFERRED from route unless landing heading verified,,"[""category:4c4e00e79769d251""]",False,False
category:5c28c37318e0ff3f,WOMAN,,Women's Maxi Dresses,women's maxi dresses,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:5c28c37318e0ff3f,https://www.zara.com/us/en/woman-dresses-maxi-l1079.html,[],,INFERRED from route unless landing heading verified,,"[""category:5c28c37318e0ff3f""]",False,False
category:65558b559bf9adca,WOMAN,,Women's Long Sleeve Dresses,women's long sleeve dresses,https://www.zara.com/us/en/woman-dresses-long-sleeve-l1776.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:65558b559bf9adca,https://www.zara.com/us/en/woman-dresses-long-sleeve-l1776.html,[],,INFERRED from route unless landing heading verified,,"[""category:65558b559bf9adca""]",False,False
category:fa185dbac1392639,WOMAN,,Women´s Satin Dresses,women´s satin dresses,https://www.zara.com/us/en/woman-dresses-satin-l3082.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:fa185dbac1392639,https://www.zara.com/us/en/woman-dresses-satin-l3082.html,[],,INFERRED from route unless landing heading verified,,"[""category:fa185dbac1392639""]",False,False
category:e9ed71d4d4a95cb5,WOMAN,,Women's Denim Dresses,women's denim dresses,https://www.zara.com/us/en/woman-dresses-denim-l1704.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:e9ed71d4d4a95cb5,https://www.zara.com/us/en/woman-dresses-denim-l1704.html,[],,INFERRED from route unless landing heading verified,,"[""category:e9ed71d4d4a95cb5""]",False,False
category:4e9a71c976e64e37,WOMAN,,Tulle Dresses for Woman,tulle dresses for woman,https://www.zara.com/us/en/woman-dresses-tulle-l5472.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:4e9a71c976e64e37,https://www.zara.com/us/en/woman-dresses-tulle-l5472.html,[],,INFERRED from route unless landing heading verified,,"[""category:4e9a71c976e64e37""]",False,False
category:a215e0866fd34050,UNCLASSIFIED,,Dresses for Women,dresses for women,https://www.zara.com/us/en/s-woman-dresses-l8887.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:a215e0866fd34050,https://www.zara.com/us/en/s-woman-dresses-l8887.html,[],,INFERRED from route unless landing heading verified,,"[""category:a215e0866fd34050""]",False,False
category:6387f930e468d9cb,WOMAN,,Women’s Elegant Evening Dresses,women’s elegant evening dresses,https://www.zara.com/us/en/woman-dresses-elegant-l5736.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:6387f930e468d9cb,https://www.zara.com/us/en/woman-dresses-elegant-l5736.html,[],,INFERRED from route unless landing heading verified,,"[""category:6387f930e468d9cb""]",False,False
category:a6e302e156ac1097,WOMAN,,Women's Cut Out Dresses,women's cut out dresses,https://www.zara.com/us/en/woman-dresses-cut-out-l4746.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:a6e302e156ac1097,https://www.zara.com/us/en/woman-dresses-cut-out-l4746.html,[],,INFERRED from route unless landing heading verified,,"[""category:a6e302e156ac1097""]",False,False
category:64d01931fe0abb82,WOMAN,,Women's Winter Dresses,women's winter dresses,https://www.zara.com/us/en/woman-dresses-winter-l2348.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:64d01931fe0abb82,https://www.zara.com/us/en/woman-dresses-winter-l2348.html,[],,INFERRED from route unless landing heading verified,,"[""category:64d01931fe0abb82""]",False,False
category:7391a3e0b5b42dfa,WOMAN,,Women's Bodycon Dresses,women's bodycon dresses,https://www.zara.com/us/en/woman-dresses-bodycon-l2179.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:7391a3e0b5b42dfa,https://www.zara.com/us/en/woman-dresses-bodycon-l2179.html,[],,INFERRED from route unless landing heading verified,,"[""category:7391a3e0b5b42dfa""]",False,False
category:8fc10bc70c613e8e,WOMAN,,Prom and Formal Dresses,prom and formal dresses,https://www.zara.com/us/en/woman-dresses-prom-l7713.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:8fc10bc70c613e8e,https://www.zara.com/us/en/woman-dresses-prom-l7713.html,[],,INFERRED from route unless landing heading verified,,"[""category:8fc10bc70c613e8e""]",False,False
category:7cd2565cc7e05d9b,WOMAN,,Women's Rhinestone Dresses,women's rhinestone dresses,https://www.zara.com/us/en/woman-dresses-rhinestone-l7702.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:7cd2565cc7e05d9b,https://www.zara.com/us/en/woman-dresses-rhinestone-l7702.html,[],,INFERRED from route unless landing heading verified,,"[""category:7cd2565cc7e05d9b""]",False,False
category:818fcbcbe8d65de0,WOMAN,,Women's Backless Dresses,women's backless dresses,https://www.zara.com/us/en/woman-dresses-backless-l4889.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:818fcbcbe8d65de0,https://www.zara.com/us/en/woman-dresses-backless-l4889.html,[],,INFERRED from route unless landing heading verified,,"[""category:818fcbcbe8d65de0""]",False,False
category:53b84339665a9b39,WOMAN,,Sleeveless Dress for Woman,sleeveless dress for woman,https://www.zara.com/us/en/woman-dresses-sleeveless-l4203.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:53b84339665a9b39,https://www.zara.com/us/en/woman-dresses-sleeveless-l4203.html,[],,INFERRED from route unless landing heading verified,,"[""category:53b84339665a9b39""]",False,False
category:9c7eb7535df83c28,WOMAN,,Women's Off The Shoulder Dresses,women's off the shoulder dresses,https://www.zara.com/us/en/woman-dresses-off-the-shoulder-l1084.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:9c7eb7535df83c28,https://www.zara.com/us/en/woman-dresses-off-the-shoulder-l1084.html,[],,INFERRED from route unless landing heading verified,,"[""category:9c7eb7535df83c28""]",False,False
category:7850948038e4d38f,WOMAN,,Work Dresses,work dresses,https://www.zara.com/us/en/woman-dresses-work-l4481.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:7850948038e4d38f,https://www.zara.com/us/en/woman-dresses-work-l4481.html,[],,INFERRED from route unless landing heading verified,,"[""category:7850948038e4d38f""]",False,False
category:2438deeeeb6becbe,WOMAN,,Casual Dresses,casual dresses,https://www.zara.com/us/en/woman-dresses-casual-l4480.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:2438deeeeb6becbe,https://www.zara.com/us/en/woman-dresses-casual-l4480.html,[],,INFERRED from route unless landing heading verified,,"[""category:2438deeeeb6becbe""]",False,False
category:34ff1322c9dfb87c,WOMAN,,Women's Green Dresses,women's green dresses,https://www.zara.com/us/en/woman-dresses-green-l1741.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:34ff1322c9dfb87c,https://www.zara.com/us/en/woman-dresses-green-l1741.html,[],,INFERRED from route unless landing heading verified,,"[""category:34ff1322c9dfb87c""]",False,False
category:1577d9ca51248540,WOMAN,,Women's Shift Dresses,women's shift dresses,https://www.zara.com/us/en/woman-dresses-baby-doll-l1067.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:1577d9ca51248540,https://www.zara.com/us/en/woman-dresses-baby-doll-l1067.html,[],,INFERRED from route unless landing heading verified,,"[""category:1577d9ca51248540""]",False,False
category:e49914715b6054c8,WOMAN,,Tunic Dresses,tunic dresses,https://www.zara.com/us/en/woman-dresses-tunic-l1096.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:e49914715b6054c8,https://www.zara.com/us/en/woman-dresses-tunic-l1096.html,[],,INFERRED from route unless landing heading verified,,"[""category:e49914715b6054c8""]",False,False
category:a11f999715622dcd,WOMAN,,Women's Asymmetric Dresses,women's asymmetric dresses,https://www.zara.com/us/en/woman-dresses-asymmetric-l4888.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:a11f999715622dcd,https://www.zara.com/us/en/woman-dresses-asymmetric-l4888.html,[],,INFERRED from route unless landing heading verified,,"[""category:a11f999715622dcd""]",False,False
category:e0c0f65966a3cfb7,WOMAN,,Women's Blue Dresses,women's blue dresses,https://www.zara.com/us/en/woman-dresses-blue-l1677.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:e0c0f65966a3cfb7,https://www.zara.com/us/en/woman-dresses-blue-l1677.html,[],,INFERRED from route unless landing heading verified,,"[""category:e0c0f65966a3cfb7""]",False,False
category:f82cad1a60228624,WOMAN,,Women's Pink Dresses,women's pink dresses,https://www.zara.com/us/en/woman-dresses-pink-l1843.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:f82cad1a60228624,https://www.zara.com/us/en/woman-dresses-pink-l1843.html,[],,INFERRED from route unless landing heading verified,,"[""category:f82cad1a60228624""]",False,False
category:7ffc0c8eb7d65aa1,WOMAN,,Women's Polka Dot Dresses,women's polka dot dresses,https://www.zara.com/us/en/woman-dresses-polka-dot-l1775.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:7ffc0c8eb7d65aa1,https://www.zara.com/us/en/woman-dresses-polka-dot-l1775.html,[],,INFERRED from route unless landing heading verified,,"[""category:7ffc0c8eb7d65aa1""]",False,False
category:91eed39f94687279,WOMAN,,Women's Cotton Dresses,women's cotton dresses,https://www.zara.com/us/en/woman-dresses-poplin-l2350.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:91eed39f94687279,https://www.zara.com/us/en/woman-dresses-poplin-l2350.html,[],,INFERRED from route unless landing heading verified,,"[""category:91eed39f94687279""]",False,False
category:44724d4907719577,WOMAN,,Women's Ruffle Dresses,women's ruffle dresses,https://www.zara.com/us/en/woman-dresses-ruffles-l2349.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:44724d4907719577,https://www.zara.com/us/en/woman-dresses-ruffles-l2349.html,[],,INFERRED from route unless landing heading verified,,"[""category:44724d4907719577""]",False,False
category:2634ed82f09a34bf,WOMAN,,Women's Grey Dresses,women's grey dresses,https://www.zara.com/us/en/woman-dresses-grey-l2189.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:2634ed82f09a34bf,https://www.zara.com/us/en/woman-dresses-grey-l2189.html,[],,INFERRED from route unless landing heading verified,,"[""category:2634ed82f09a34bf""]",False,False
category:1a1578172e811de5,WOMAN,,Women's Red Dresses,women's red dresses,https://www.zara.com/us/en/woman-dresses-red-l1687.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:1a1578172e811de5,https://www.zara.com/us/en/woman-dresses-red-l1687.html,[],,INFERRED from route unless landing heading verified,,"[""category:1a1578172e811de5""]",False,False
category:e710587cc6cda81d,WOMAN,,Women's Crochet Dresses,women's crochet dresses,https://www.zara.com/us/en/woman-dresses-crochet-l1071.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:e710587cc6cda81d,https://www.zara.com/us/en/woman-dresses-crochet-l1071.html,[],,INFERRED from route unless landing heading verified,,"[""category:e710587cc6cda81d""]",False,False
category:7b58f84a597af287,WOMAN,,FRINGED DRESSES,fringed dresses,https://www.zara.com/us/en/woman-dresses-fringe-l6302.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:7b58f84a597af287,https://www.zara.com/us/en/woman-dresses-fringe-l6302.html,[],,INFERRED from route unless landing heading verified,,"[""category:7b58f84a597af287""]",False,False
category:e01cac5391962885,WOMAN,,MESH DRESSES,mesh dresses,https://www.zara.com/us/en/woman-dresses-mesh-l6301.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:e01cac5391962885,https://www.zara.com/us/en/woman-dresses-mesh-l6301.html,[],,INFERRED from route unless landing heading verified,,"[""category:e01cac5391962885""]",False,False
category:e1b51bf9917737ad,WOMAN,,Women's Sequin Dresses,women's sequin dresses,https://www.zara.com/us/en/woman-dresses-sequin-l2340.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:e1b51bf9917737ad,https://www.zara.com/us/en/woman-dresses-sequin-l2340.html,[],,INFERRED from route unless landing heading verified,,"[""category:e1b51bf9917737ad""]",False,False
category:226aa6d3141056db,WOMAN,,Women's Pleated Dresses,women's pleated dresses,https://www.zara.com/us/en/woman-dresses-pleated-l4060.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:226aa6d3141056db,https://www.zara.com/us/en/woman-dresses-pleated-l4060.html,[],,INFERRED from route unless landing heading verified,,"[""category:226aa6d3141056db""]",False,False
category:c1a5a483a4ee270a,WOMAN,,Animal Print Dresses,animal print dresses,https://www.zara.com/us/en/woman-dresses-animal-print-l4059.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:c1a5a483a4ee270a,https://www.zara.com/us/en/woman-dresses-animal-print-l4059.html,[],,INFERRED from route unless landing heading verified,,"[""category:c1a5a483a4ee270a""]",False,False
category:4cf87df61285f561,WOMAN,,Women's Wrap Dresses,women's wrap dresses,https://www.zara.com/us/en/woman-dresses-wrap-l2180.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:4cf87df61285f561,https://www.zara.com/us/en/woman-dresses-wrap-l2180.html,[],,INFERRED from route unless landing heading verified,,"[""category:4cf87df61285f561""]",False,False
category:b8df1c8b29bf16e0,WOMAN,,Women's Embroidered Dresses,women's embroidered dresses,https://www.zara.com/us/en/woman-dresses-embroidered-l2185.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:b8df1c8b29bf16e0,https://www.zara.com/us/en/woman-dresses-embroidered-l2185.html,[],,INFERRED from route unless landing heading verified,,"[""category:b8df1c8b29bf16e0""]",False,False
category:809b3ec7006ada2a,WOMAN,,Women's Purple Dresses,women's purple dresses,https://www.zara.com/us/en/woman-dresses-purple-l2188.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:809b3ec7006ada2a,https://www.zara.com/us/en/woman-dresses-purple-l2188.html,[],,INFERRED from route unless landing heading verified,,"[""category:809b3ec7006ada2a""]",False,False
category:99b907c82d0f8281,WOMAN,,Women's Christmas Dresses,women's christmas dresses,https://www.zara.com/us/en/woman-dresses-christmas-l7116.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:99b907c82d0f8281,https://www.zara.com/us/en/woman-dresses-christmas-l7116.html,[],,INFERRED from route unless landing heading verified,,"[""category:99b907c82d0f8281""]",False,False
category:f4705897ce29dd97,WOMAN,,Women's Leather Dresses,women's leather dresses,https://www.zara.com/us/en/woman-dresses-leather-l4061.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:f4705897ce29dd97,https://www.zara.com/us/en/woman-dresses-leather-l4061.html,[],,INFERRED from route unless landing heading verified,,"[""category:f4705897ce29dd97""]",False,False
category:6acb4cecab5bd40b,WOMAN,,Smock Dresses,smock dresses,https://www.zara.com/us/en/woman-dresses-smock-l4483.html,UNKNOWN,,,,,,legacy_checkpoint,,QUEUED,category:6acb4cecab5bd40b,https://www.zara.com/us/en/woman-dresses-smock-l4483.html,[],,INFERRED from route unless landing heading verified,,"[""category:6acb4cecab5bd40b""]",False,False
