product_id,position,property_id,section,material_text,source
zara-us:00122342,0,Composition,OUTER SHELL,100% cotton,JSON-LD additionalProperty
zara-us:00794102,0,Composition,OUTER SHELL,100% cotton,JSON-LD additionalProperty
zara-us:00975847,0,Composition,OUTER SHELL,100% cotton,JSON-LD additionalProperty
zara-us:00975853,0,Composition,OUTER SHELL,100% cotton,JSON-LD additionalProperty
zara-us:01030731,0,Composition,OUTER SHELL,100% cotton,JSON-LD additionalProperty
zara-us:01038623,0,Composition,OUTER SHELL,100% cotton,JSON-LD additionalProperty
zara-us:01063447,0,Composition,OUTER SHELL,100% cotton,JSON-LD additionalProperty
zara-us:01210228,0,Composition,OUTER SHELL,"63% polyester, 32% viscose, 5% elastane",JSON-LD additionalProperty
zara-us:01210228,1,Composition,LINING,100% polyester,JSON-LD additionalProperty
zara-us:01437358,0,Composition,OUTER SHELL,"70% lyocell, 30% polyester",JSON-LD additionalProperty
zara-us:01758151,0,Composition,OUTER SHELL,100% polyamide,JSON-LD additionalProperty
zara-us:01758151,1,Composition,LINING,"97% polyester, 3% elastane",JSON-LD additionalProperty
zara-us:01957102,0,Composition,OUTER SHELL,100% linen,JSON-LD additionalProperty
zara-us:02285098,0,Composition,OUTER SHELL,100% polyester,JSON-LD additionalProperty
zara-us:02692792,0,Composition,OUTER SHELL,"97% cotton, 3% elastane",JSON-LD additionalProperty
zara-us:02933303,0,Composition,OUTER SHELL,"59% polyester, 41% viscose",JSON-LD additionalProperty
zara-us:03067214,0,Composition,OUTER SHELL,"96% polyester, 4% elastane",JSON-LD additionalProperty
zara-us:03067214,1,Composition,LINING,100% polyester,JSON-LD additionalProperty
zara-us:03152205,0,Composition,OUTER SHELL,"96% polyester, 4% elastane",JSON-LD additionalProperty
zara-us:03152205,1,Composition,LINING,100% polyester,JSON-LD additionalProperty
zara-us:03277401,0,Composition,OUTER SHELL,"65% cotton, 35% polyester",JSON-LD additionalProperty
zara-us:03798623,0,Composition,OUTER SHELL,"60% lyocell, 40% cotton",JSON-LD additionalProperty
zara-us:03897173,0,Composition,OUTER SHELL,100% polyester,JSON-LD additionalProperty
zara-us:04087516,0,Composition,OUTER SHELL,100% cotton,JSON-LD additionalProperty
zara-us:04333476,0,Composition,OUTER SHELL,"84% cotton, 16% polyester",JSON-LD additionalProperty
zara-us:04408147,0,Composition,OUTER SHELL,"95% polyester, 5% elastane",JSON-LD additionalProperty
zara-us:04493144,0,Composition,OUTER SHELL,"63% cotton, 37% polyester",JSON-LD additionalProperty
