source_category_id,target_category_id,relation,evidence
category:52b69d58ca7f96f8,category:464699df8a939649,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:0a70d2e37392985f,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:e51c9cb6e9106f5d,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:2296093622c90fd2,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:91c60a1489d05f0a,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:222e1aa5c830d324,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:d46328f1a84f9f10,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:2ef8a2ef6481daa9,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:f9f047510caa478d,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:0e2a2b2a987a96bd,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:64745c5b2e6e09de,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:cc79f9caaccdccb9,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:68a78d69fc6bab3a,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:7563a9dd369e86fb,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:4c4e00e79769d251,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:5c28c37318e0ff3f,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:65558b559bf9adca,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:fa185dbac1392639,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:e9ed71d4d4a95cb5,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:4e9a71c976e64e37,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:a215e0866fd34050,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:6387f930e468d9cb,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:a6e302e156ac1097,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:64d01931fe0abb82,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:7391a3e0b5b42dfa,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:8fc10bc70c613e8e,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:7cd2565cc7e05d9b,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:818fcbcbe8d65de0,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:53b84339665a9b39,RELATED_LINK,data\raw\zara\discovery\1066.json
category:52b69d58ca7f96f8,category:9c7eb7535df83c28,RELATED_LINK,data\raw\zara\discovery\1066.json
