category_id,category_url,category,source_category_identifier,identifier_semantics,department,department_classification,parent_category,parent_status,discovery_status,enumeration_status,first_scan_product_count,final_scan_product_count,number_of_scroll_iterations,duplicate_count,new_products_last_iteration,completion_reason,unique_products_discovered
category:52b69d58ca7f96f8,https://www.zara.com/us/en/woman-dresses-l1066.html,Dresses for Women | ZARA United States,1066,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,LINKS_INSPECTED,PENDING,,,0,,,,32
category:464699df8a939649,https://www.zara.com/us/en/woman-dresses-party-l1581.html,going out,1581,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:0a70d2e37392985f,https://www.zara.com/us/en/woman-dresses-midi-l1081.html,midi | maxi,1081,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:e51c9cb6e9106f5d,https://www.zara.com/us/en/woman-dresses-mini-l1083.html,mini,1083,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:2296093622c90fd2,https://www.zara.com/us/en/woman-jumpsuits-l1150.html,jumpsuits,1150,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:91c60a1489d05f0a,https://www.zara.com/us/en/woman-dresses-camisole-l2184.html,satin effect,2184,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:222e1aa5c830d324,https://www.zara.com/us/en/woman-dresses-view-all-newsletter-l19359.html,VIEW ALL,19359,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:d46328f1a84f9f10,https://www.zara.com/us/en/woman-dresses-wedding-guest-l2178.html,Women's Wedding Guest Dresses,2178,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:2ef8a2ef6481daa9,https://www.zara.com/us/en/woman-dresses-white-l1676.html,Women's White Dresses,1676,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:f9f047510caa478d,https://www.zara.com/us/en/woman-dresses-beach-l5337.html,Women´s Dress Beach,5337,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:0e2a2b2a987a96bd,https://www.zara.com/us/en/woman-knitwear-dresses-l1160.html,Women's Sweater Dresses,1160,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
category:64745c5b2e6e09de,https://www.zara.com/us/en/woman-dresses-black-l1595.html,Women's Black Dresses,1595,URL token; internal semantics NOT VERIFIED,WOMAN,INFERRED from route,,NOT VERIFIED,DISCOVERED,PENDING,,,0,,,,0
